window_id,window_start_date,window_end_date,target_trade_date,stock_code,action,weight
1,2025-09-17,2025-09-30,2025-09-17,003003.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,301289.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,688389.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,000715.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,601878.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,300320.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,003018.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,301115.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,002412.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,002349.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,001256.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,600982.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,300519.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,300517.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,002845.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,301300.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,000557.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,000985.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,301215.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-17,600202.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-18,301215.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-18,301300.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-18,600982.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-18,688671.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-18,603577.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-18,300659.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-19,688389.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-19,003018.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-19,000715.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-19,300800.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-19,688021.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-19,300514.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-22,603577.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-22,300517.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-22,300514.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-22,603070.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-22,603082.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-22,688533.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-23,300519.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-23,688021.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-23,600202.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-23,300615.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-23,301548.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-23,300514.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-24,300800.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-24,300514.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-24,002845.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-24,002935.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-24,688389.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-24,600109.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-25,688671.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-25,301115.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-25,300615.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-25,300259.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-25,300508.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-25,301298.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-26,301289.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-26,300320.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-26,600109.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-26,301223.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-26,603161.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-26,003027.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-29,000985.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-29,003027.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-29,003003.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-29,688667.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-29,688351.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-29,301539.SZ,buy,0.05
1,2025-09-17,2025-09-30,2025-09-30,300259.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-30,601878.SH,sell,0.0
1,2025-09-17,2025-09-30,2025-09-30,301548.SZ,sell,0.0
1,2025-09-17,2025-09-30,2025-09-30,688139.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-30,688459.SH,buy,0.05
1,2025-09-17,2025-09-30,2025-09-30,688512.SH,buy,0.05
