variant,run_dir,config,validation_rank_ic,validation_icir,validation_topk_return,validation_direction_accuracy,validation_total_return,validation_annual_return,validation_sharpe,validation_max_drawdown,validation_excess_equal_weight,holdout_rank_ic,holdout_icir,holdout_topk_return,holdout_direction_accuracy,holdout_total_return,holdout_annual_return,holdout_sharpe,holdout_max_drawdown,holdout_excess_equal_weight,status
price_only_no_factors_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_price_only_no_factors_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/price_only_no_factors_h64.yaml,0.0405989608,0.4539459993,0.0001244454,0.5184743622,0.07289662795495833,0.34382617930864456,1.7526675270983538,-0.061253307207054464,0.04030480819177473,0.0207689524,0.2150572852,0.0008764678,0.5104648611,-0.03610912142335376,-0.0999603767881343,-0.39211566371047,-0.14904215555793376,-0.15075960932313404,ok
selected_factors_no_price_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_selected_factors_no_price_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/selected_factors_no_price_h64.yaml,0.0734128863,0.699358436,0.0016275609,0.5089836246,0.040436331331795916,0.1811502277794823,1.1000715037199336,-0.09232489239506336,0.007844511568612322,0.0449621797,0.3591403575,0.0011268479,0.514213741,0.06916222737359545,0.2110730207193121,0.9711316674190539,-0.13260986137415653,-0.04548826052618482,ok
selected_factors_no_news_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_selected_factors_no_news_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/selected_factors_no_news_h64.yaml,0.0664697123,0.6545426783,0.0014437029,0.5169899652,0.03929636821098437,0.17572437102678196,1.0896752196520076,-0.08845697412446007,0.006704548447800773,0.0414695552,0.3507232545,0.0016546887,0.5105105792,0.041658013791925574,0.12397955331626798,0.636551653820003,-0.13995171399258566,-0.0729924741078547,ok
fa_base_topk002_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_base_topk002_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_base_topk002_h64.yaml,0.061395256,0.6563959331,0.0011204578,0.5122479548,0.06036204535990297,0.27910893188694086,1.6304576151524448,-0.08091574049785177,0.027770225596719378,0.0413755137,0.3526308036,0.001525169,0.5151143866,0.07300993159680735,0.2235958284946955,1.0280672553314703,-0.1327368838527414,-0.04164055630297292,ok
fa_topk000_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_topk000_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_topk000_h64.yaml,0.0614651741,0.65621078,0.0010849311,0.5122546715,0.05986894306400048,0.2766125183720263,1.5803009390890213,-0.083180096469476,0.027277123300816886,0.041454325,0.3529708466,0.0015135887,0.5151921072,0.07236012713247408,0.22147507736753136,1.021353108108601,-0.13160040269395812,-0.04229036076730619,ok
fa_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_topk005_h64.yaml,0.0612831139,0.6566520063,0.0012534834,0.5121606373,0.0603386870674365,0.27899059274045834,1.61920755864164,-0.08135326483891203,0.02774686730425291,0.041258781,0.3521318033,0.0014431089,0.5151235302,0.06412671909279744,0.19481078167541432,0.9230609770484791,-0.13613861169005037,-0.05052376880698284,ok
fa_topk010_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_topk010_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_topk010_h64.yaml,0.0611098194,0.6570054693,0.0011834286,0.5121001867,0.04710939073893927,0.2132956171450815,1.2925588897552296,-0.08393684251869549,0.014517570975755678,0.0410595434,0.3512503225,0.0014715171,0.5150366659,0.06235809110902846,0.18913288684440333,0.9071690005526263,-0.13503120418887327,-0.052292396790751816,ok
fa_recent_mild_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_recent_mild_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_recent_mild_topk005_h64.yaml,0.0612762277,0.6566456049,0.0012593448,0.5121404871,0.06320928496181244,0.2935963891186997,1.682971162129443,-0.08135326483891203,0.030617465198628846,0.041257951,0.3521387878,0.0014431089,0.5151372456,0.06412671909279744,0.19481078167541432,0.9230609770484791,-0.13613861169005037,-0.05052376880698284,ok
fa_recent_strong_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_recent_strong_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_recent_strong_topk005_h64.yaml,0.0612804107,0.6566920862,0.0012593448,0.5121337704,0.06320928496181244,0.2935963891186997,1.682971162129443,-0.08135326483891203,0.030617465198628846,0.0412564571,0.3521245355,0.0014431089,0.5151372456,0.06412671909279744,0.19481078167541432,0.9230609770484791,-0.13613861169005037,-0.05052376880698284,ok
fa_proto2_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_proto2_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_proto2_topk005_h64.yaml,0.0661703818,0.6577855055,0.0012399351,0.5139674373,0.035309885477626146,0.15689918580998885,1.0088854929980722,-0.08530737407704447,0.0027180657144425524,0.0427185579,0.350545247,0.0015319022,0.511168919,0.057859947177611115,0.17477151558942405,0.8838823932704095,-0.13015482222351504,-0.05679054072216916,ok
fa_no_factor_gate_proto2_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_no_factor_gate_proto2_topk005_h64,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_no_factor_gate_proto2_topk005_h64.yaml,0.0677594175,0.6423752142,0.000955199,0.5138331027,0.006213131442454278,0.026355748396312606,0.25049182465361114,-0.08093329716679498,-0.026378688320729315,0.0454433408,0.3590118885,0.0015112277,0.5099711062,-0.007509228927671363,-0.021353559902207442,-0.002916985750323157,-0.14002953615690683,-0.12215971682745164,ok
fa_scale_small_proto2_topk005_h48,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/runs/20260528_0138_systematic_ablation_fa_scale_small_proto2_topk005_h48,/data/jiaxuanLin/AItrader/data/experiments/msgca/20260528_first_wave_systematic_ablation/configs/fa_scale_small_proto2_topk005_h48.yaml,0.0679516607,0.6386491949,0.0004156597,0.5145114923,0.050955085973299896,0.2321212739992462,1.273219651525534,-0.07634354915831154,0.018363266210116302,0.0424469539,0.3522755291,0.0014758708,0.5112923578,0.11863692371834933,0.3785674545516613,1.5916353495451163,-0.11924475695656422,0.003986435818569056,ok
