rank,stock_code,stock_name,industry,y_score,return_pred,direction_prob,cap_pct,total_mv,circ_mv,raw_y_score,g_price,g_text,g_fundamental
1,688585.SH,上纬新材,化工原料,7.93904639677797,0.0137932645,0.43217704,0.9472723585479619,7946226.0416,7946226.0416,-0.1973999,0.31174585,0.3474395,0.34081465
2,000725.SZ,京东方Ａ,元器件,7.63502121229626,0.012091057,0.4123104,0.9849929020482661,21189355.6526,20787431.6318,-0.34363383,0.2936116,0.3193572,0.38703123
3,600580.SH,卧龙电驱,电气设备,6.644106582134312,0.010971802,0.4027118,0.9395660109511256,6938925.9839,6919003.6139,-0.3810436,0.28388765,0.31416368,0.4019486
4,002896.SZ,中大力德,机械基件,6.4902093756511245,0.012068876,0.42459813,0.7430541472317989,1692256.7114,1692256.7114,-0.3307222,0.27065736,0.3314983,0.3978443
5,301377.SZ,鼎泰高科,机械基件,6.266891138330198,0.009368345,0.4245021,0.9738389778949503,14279320.1133,3431265.2973,-0.33683825,0.2944102,0.32808137,0.3775084
6,001270.SZ,*ST铖昌,半导体,5.960948891108228,0.010212763,0.40899783,0.8629081322247009,3174787.8201,3154584.5522,-0.34201354,0.305028,0.34328812,0.35168386
7,688257.SH,新锐股份,机械基件,5.786224561171477,0.010035538,0.43127733,0.8294463597647536,2556900.7057,2556900.7057,-0.30499834,0.28209645,0.33759862,0.38030493
8,603663.SH,三祥新材,小金属,5.762863217656538,0.009920664,0.40436256,0.8410058811600081,2714621.2968,2711543.0568,-0.355685,0.29403883,0.31276825,0.39319292
9,600360.SH,*ST华微,半导体,5.681632785710611,0.01068929,0.41607946,0.6227945649969581,1071689.5593,1071689.5593,-0.3286425,0.2961227,0.34809288,0.3557844
10,600578.SH,京能电力,火力发电,5.613304689039177,0.0086831385,0.4193813,0.9336848509430136,6493782.3846,6493782.3846,-0.30218983,0.29509014,0.3351449,0.36976498
11,300100.SZ,双林股份,汽车配件,5.481433421491492,0.009577101,0.40899375,0.7856418576353681,2027107.5394,1953296.981,-0.36357272,0.293365,0.31266227,0.39397267
12,002456.SZ,欧菲光,元器件,5.432910797511116,0.00901469,0.40446892,0.8614885418779152,3146495.3331,3108399.9686,-0.36198676,0.2924064,0.33436733,0.37322628
13,002421.SZ,达实智能,软件服务,5.417329307582062,0.01018608,0.41494954,0.5871020077063476,971226.3907,917546.7512,-0.34482843,0.27994967,0.32550335,0.39454702
14,002881.SZ,美格智能,元器件,5.411885269521609,0.0097247865,0.4043684,0.7154735347799634,1503696.3383,905811.3464,-0.44831598,0.2713103,0.30388692,0.42480287
15,000012.SZ,南玻Ａ,玻璃,5.398957630917411,0.009802982,0.4100415,0.6876901237071588,1353898.6209,871895.8861,-0.34795654,0.27556902,0.33155096,0.39288005
16,000636.SZ,风华高科,元器件,5.352611758859502,0.008331917,0.41376463,0.9168525654025552,5116312.419,5116311.9768,-0.38063103,0.3043644,0.3370836,0.35855198
17,688122.SH,西部超导,小金属,5.302013246331827,0.008334139,0.4123257,0.9079294260799027,4561294.4334,4561294.4334,-0.34935564,0.28087875,0.3241562,0.394965
18,000100.SZ,TCL科技,元器件,5.229632843444198,0.0073902206,0.40667653,0.9572094909754614,9734803.6252,8953769.7517,-0.4393177,0.2846944,0.3097944,0.40551123
19,000969.SZ,安泰科技,小金属,5.209042743746845,0.008715046,0.39521316,0.8300547556276617,2559065.2511,2536728.2858,-0.3938396,0.2725408,0.3050776,0.42238158
20,002920.SZ,德赛西威,汽车配件,5.114730661642969,0.0075131846,0.40510735,0.9363212330156155,6686651.33,6684550.58,-0.35946828,0.2979347,0.34430435,0.357761
21,600909.SH,华安证券,证券,4.987484438016057,0.007792179,0.41120878,0.8874467653619955,3838495.8884,3838495.8884,-0.3510843,0.30732757,0.3486541,0.34401837
22,002741.SZ,光华科技,化工原料,4.878451998572866,0.008583894,0.405263,0.6958020685459338,1392741.8185,1276942.8539,-0.3990029,0.29248628,0.31390706,0.39360666
23,300394.SZ,天孚通信,通信设备,4.819628952368283,0.0051870393,0.4153226,0.9918880551612249,33395610.2344,33328596.8466,-0.31808305,0.29659966,0.33036637,0.37303394
24,600563.SH,法拉电子,元器件,4.747557789195623,0.0072450144,0.42279863,0.8872439667410261,3833325.0,3833325.0,-0.269459,0.29653165,0.35081032,0.352658
25,002185.SZ,华天科技,半导体,4.740994510272953,0.00667476,0.4070344,0.9340904481849523,6582911.6652,6581356.3693,-0.44714874,0.29591417,0.3201793,0.38390648
26,002465.SZ,海格通信,通信设备,4.645843177539208,0.0068754675,0.40289736,0.9040762522814845,4380436.9182,4373470.7474,-0.41150463,0.28441745,0.3080654,0.40751716
27,000536.SZ,华映科技,元器件,4.602734475295586,0.008084996,0.40537554,0.6568647333198134,1225352.5317,1224045.5546,-0.37094337,0.3012557,0.32878673,0.36995754
28,002241.SZ,歌尔股份,元器件,4.570717990301167,0.0058523454,0.4013235,0.9582234840803082,10036934.9348,8885843.1471,-0.43209833,0.29807714,0.32166454,0.38025835
29,601939.SH,建设银行,银行,4.540463979635267,0.00241283,0.42142203,1.0,267355589.8511,9804718.0733,-0.30508214,0.31482828,0.35862058,0.32655117
30,000962.SZ,东方钽业,小金属,4.474805503921798,0.0067500174,0.41827655,0.8698032853376597,3382074.5844,3216685.2518,-0.28696895,0.28771725,0.32561255,0.3866702
