wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period
0.0,0.5,0.0,0.0,0.0,20,5,0.08736805243897838,-0.03162666039061146,-0.13314157454077025,0.5056818181818182,-0.06735733978276681,-0.025289215965322964,-0.05506017906674332,0.5833333333333334,-0.040361710053617106,-0.018748708230191813,-0.029458864340186075,0.5833333333333334,0.028693377670450104,0.015308916267557038,-0.033676109988799885,0.5555555555555556,-0.021070269961501114
0.0,0.5,0.0,0.0,0.0,20,3,0.006054009680389383,-0.11294070314920046,-0.1402077913317279,0.30795454545454537,-0.06142028090759866,-0.01935215709015481,-0.054289415259142104,0.4166666666666667,-0.06206274770479747,-0.04044974588137218,-0.0417148493627586,0.4166666666666667,0.018401209153757314,0.005016747750864248,-0.04458008166038652,0.3777777777777777,-0.060976305409255104
0.0,0.5,0.0,0.0,0.0,10,5,0.16403825989268705,0.04504354706309721,-0.16696499630810124,1.0,-0.05782005039592897,-0.01575192657848512,-0.054037482597119824,1.0,-0.05642910846396021,-0.034816106640534916,-0.03588783083940272,1.0,-0.04370430068161024,-0.05708876208450331,-0.0656441345588602,1.0,0.0025458842250167327
0.0,0.5,0.0,0.0,0.0,10,3,0.04280517663205896,-0.07618953619753088,-0.17190711043816653,0.6045454545454544,-0.06629030015041448,-0.024222176332970635,-0.054595959348845424,0.6666666666666666,-0.07128171857539778,-0.049668716751972486,-0.054821744457936306,0.6666666666666666,0.04527107965435562,0.03188661825146255,-0.05503989874645432,0.6444444444444444,-0.043008150147208046
0.0,0.5,0.0,0.0,0.5,20,5,0.06955039331399449,-0.04944431951559536,-0.11602414523588622,0.5056818181818182,-0.037899659059840274,0.004168464757603574,-0.02868138902459383,0.5833333333333334,-0.05229883735610097,-0.030685835532675676,-0.04018032922839365,0.5833333333333334,-0.031563208565851486,-0.04494766996874455,-0.039195314331731734,0.5555555555555556,-0.032552853417830055
0.0,0.5,0.0,0.0,0.5,20,3,-0.001125008896500579,-0.12011972172609042,-0.13360359551777634,0.30795454545454537,-0.02779762745942882,0.014270496358015028,-0.0335121569186847,0.4166666666666667,-0.057214511994391426,-0.03560151017096613,-0.04515886191245355,0.4166666666666667,-0.034767017106809406,-0.04815147850970247,-0.04353591395785228,0.3777777777777777,-0.06304919898933722
0.0,0.5,0.0,0.0,0.5,10,5,0.13169130365052717,0.012696590820937326,-0.15364668350357713,1.0,-0.05502157075053071,-0.012953446933086865,-0.050362924973002876,1.0,-0.06133100679034231,-0.03971800496691702,-0.03691127412260953,1.0,-0.04493212417823733,-0.0583165855811304,-0.053115365218214694,1.0,-0.012230084446057032
0.0,0.5,0.0,0.0,0.5,10,3,0.017758389786728834,-0.10123632304286101,-0.16982625797956663,0.6045454545454544,-0.05519489071485395,-0.013126766897410103,-0.034898294064479196,0.6666666666666666,-0.08984558376658303,-0.06823258194315773,-0.060643762723516015,0.6666666666666666,-0.04038503121406756,-0.053769492616960624,-0.05547489500796898,0.6444444444444444,-0.06713834827765773
0.0,0.5,0.0,0.25,0.0,20,5,0.13753884935548188,0.01854413652589204,-0.048035306562323354,0.5056818181818182,-0.04889524931225819,-0.006827125494814346,-0.051707280594499694,0.5833333333333334,-0.043144555830765374,-0.02153155400734008,-0.031797472630855306,0.5833333333333334,0.006943996336225,-0.006440465066668066,-0.03074405386152712,0.5555555555555556,0.0024422772018466102
0.0,0.5,0.0,0.25,0.0,20,3,0.05614287620014746,-0.06285183662944238,-0.07666838000188614,0.30795454545454537,-0.03918659313591377,0.0028815306815300756,-0.05215272129904902,0.4166666666666667,-0.038599107446566916,-0.016986105623141623,-0.04219952742454225,0.4166666666666667,-0.011075698849897009,-0.024460160252790075,-0.03770095131416129,0.3777777777777777,-0.03377988369425631
0.0,0.5,0.0,0.25,0.0,10,5,0.123025385872918,0.004030673043328159,-0.07063512026014307,1.0,-0.06113335923927876,-0.019065235421834914,-0.0481298767922933,1.0,-0.05276525157413259,-0.031152249750707295,-0.04441013540879968,1.0,-0.0526159455207007,-0.06600040692359377,-0.05799057988463174,1.0,-0.017525404487106214
0.0,0.5,0.0,0.25,0.0,10,3,-0.012737885646491476,-0.13173259847608132,-0.10380151824151074,0.6045454545454544,0.0017032337724038893,0.04377135758984774,-0.020883862265155373,0.6666666666666666,-0.03994861406618966,-0.018335612242764365,-0.051523831693019884,0.6666666666666666,-0.010310118482460884,-0.02369457988535395,-0.06193287180523621,0.6444444444444444,-0.05464135873599241
0.0,0.5,0.0,0.25,0.5,20,5,0.14088059652913976,0.021885883699549913,-0.048111296552179605,0.5056818181818182,-0.003835667669975895,0.03823245614746795,-0.015364809641241983,0.5833333333333334,-0.048626975097079916,-0.027013973273654623,-0.03786819015405174,0.5833333333333334,-0.03138843999401442,-0.04477290139690748,-0.036258309871475825,0.5555555555555556,0.008638730501080135
0.0,0.5,0.0,0.25,0.5,20,3,0.0656323861472492,-0.053362326682340644,-0.07807905103125956,0.30795454545454537,-0.0032899268570921736,0.038778196960351674,-0.030106189144169182,0.4166666666666667,-0.04273943581559103,-0.02112643399216574,-0.04063158815792023,0.4166666666666667,-0.02155543874136201,-0.034939900144255076,-0.02957302469861889,0.3777777777777777,-0.022728447887428494
0.0,0.5,0.0,0.25,0.5,10,5,0.08124005729751649,-0.037754655532073356,-0.07507189375673362,1.0,-0.02888753662886956,0.013180587188574289,-0.03110301855900044,1.0,-0.05505115135207583,-0.03343814952865054,-0.06168543889332678,1.0,-0.04766353236064369,-0.061047993763536756,-0.0453663632039456,1.0,-0.027867369686117534
0.0,0.5,0.0,0.25,0.5,10,3,-0.028045820123150933,-0.14704053295274078,-0.09684460011787566,0.6045454545454544,-0.024577610847404507,0.01749051297003934,-0.020883862265155373,0.6666666666666666,-0.03544346231810436,-0.013830460494679064,-0.06114207431974383,0.6666666666666666,-0.04439460843697052,-0.057779069839863584,-0.04807412747952455,0.6444444444444444,-0.07253704113640491
