epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_rolling_excess_equal_mean,competition_period_excess_equal,competition_latest_window_return,competition_rolling_win_rate,competition_score,competition_sharpe,competition_recent_return_mean,competition_market_equal_period_return,competition_period_return,competition_rolling_return_mean,competition_recent_return_min,competition_turnover_mean,competition_max_drawdown,competition_rolling_return_min
1,0.4020967322317834,0.03958958070698015,0.12535024392937022,0.3158317005692248,0.5116980787034391,0.0015092748442177915,88,-0.018874494724333505,-0.13083895264970757,0.00011236297686734176,0.31645569620253167,-0.03857239643775503,-0.05302366444952041,-0.01475999372265575,0.11899471282958984,-0.01184423982011773,-0.00897050093668872,-0.02847944527285684,0.6045454545454544,-0.1146620695042524,-0.055356209321343997
2,0.4008331587028335,0.04252095050141727,0.1270197698127665,0.33475852274095036,0.5126215811550638,0.0015131041443303482,88,-0.018696165104329858,-0.17087655460449336,-0.007373987746412514,0.43037974683544306,-0.03859938525083098,-0.5291904122419241,0.004789559863867532,0.11899471282958984,-0.051881841774903514,-0.008792171316685074,-0.018398650178029663,0.6045454545454544,-0.13614145761984553,-0.09185266557521954
3,0.40060993688747837,0.04281919040851748,0.1265922057250055,0.33824507728013686,0.5110671710879727,0.0014642336287083294,88,-0.01773289943301164,-0.19542481102133302,0.010545169761399631,0.3670886075949367,-0.03928406531615066,-0.9359116324328624,0.019393425815893005,0.11899471282958984,-0.07643009819174318,-0.007828905645366856,-0.0071179304812628574,0.6045454545454544,-0.15391851400446588,-0.06613438434444197
4,0.4004319153195483,0.04323809586380893,0.12527501258652643,0.34514541225006645,0.5121689735178814,0.0016420816194692054,88,-0.010337369183699915,-0.11022023721869134,-0.031112083565576154,0.4936708860759494,-0.026974292391682825,0.2233497038123318,0.001199306809652545,0.11899471282958984,0.008774475610898502,-0.0004333753960551313,-0.031112083565576154,0.6045454545454544,-0.12387370526614383,-0.07347349695569405
5,0.40030934422629383,0.04259953492488824,0.1219496360673542,0.34932072205086384,0.5124889991199296,0.0019225421934937583,88,-0.0040082397820984704,-0.08934104912272578,-0.010555341232991289,0.4936708860759494,-0.008026204299685227,0.47899876325239826,0.053541467938859985,0.11899471282958984,0.029653663706864064,0.005895754005546314,-0.010555341232991289,0.6045454545454544,-0.12093762697395993,-0.07933980691069609
6,0.40015045771393937,0.04353661992008398,0.12176716744361243,0.3575398921901077,0.5112477569634142,0.0012369660285003192,88,0.0004626516028783962,-0.0840223793218342,-0.018065777008875017,0.5189873417721519,-0.011668285772062477,0.548769898493726,0.01992211766590457,0.11899471282958984,0.03497233350775564,0.01036664539052318,-0.018065777008875017,0.6045454545454544,-0.1057502840032285,-0.07778789608716763
7,0.400057930343638,0.04363464796172172,0.12189482748201726,0.3579696436927071,0.5129004606082772,0.0006940217430052475,88,-0.004911311054240346,-0.1725102945497492,-0.055937515747195854,0.43037974683544306,-0.029733977336436165,-0.5814671911694869,0.010815810211428124,0.11899471282958984,-0.053515581720159355,0.004992682733404438,-0.055937515747195854,0.6045454545454544,-0.13673596167503532,-0.07682178911127902
8,0.3999346854091743,0.04418739978892434,0.1177389012156377,0.3752999164481375,0.5126170093607488,0.0014677958829038703,88,0.011201964000868326,-0.04076146658282509,-0.025809859487629483,0.620253164556962,0.016595688325714352,0.7488997023425121,0.10002448113321916,0.11899471282958984,0.07823324624676475,0.02110595778851311,-0.025809859487629483,0.6045454545454544,-0.13582016490018145,-0.107687410176733
9,0.3998586134639749,0.04395525568369576,0.1185550271131766,0.3707582609865594,0.5129370349627971,0.001491921563931762,88,0.005508659512292808,-0.010953961782617094,-0.006734310637080743,0.5316455696202531,0.010938726900967987,1.0081135165631847,0.07872254191604293,0.11899471282958984,0.10804075104697275,0.015412653299937592,-0.006734310637080743,0.6045454545454544,-0.12876850172407628,-0.10038691768229024
10,0.3996976103026282,0.0435884572921456,0.11640940069192164,0.3744410419868305,0.5121484004434641,0.0011755448340409203,88,0.00014769750869153726,-0.11194615275961706,-0.011703905924049351,0.5063291139240507,-0.011154709123972657,0.23075592201545403,0.06557576279796296,0.11899471282958984,0.007048560069972787,0.010051691296336322,-0.011703905924049351,0.6045454545454544,-0.18382678661185559,-0.09801058621278835
