epoch,train_loss,rank_ic_mean,rank_ic_std,rank_ic_ir,direction_accuracy,topk_return_mean,day_count,competition_period_return,competition_recent_return_mean,competition_period_excess_equal,competition_score,competition_rolling_return_min,competition_rolling_win_rate,competition_rolling_return_mean,competition_recent_return_min,competition_turnover_mean,competition_sharpe,competition_latest_window_return,competition_rolling_excess_equal_mean,competition_max_drawdown,competition_market_equal_period_return
1,0.4020832851222152,0.03956274871355705,0.12532851788890714,0.3156723575764775,0.511720937675014,0.001495383484077386,88,-0.008859350722876469,-0.014759993265563964,-0.1278540635524663,-0.03781773205228036,-0.05144114785375109,0.31645569620253167,-0.008627329424677999,-0.02847944482274356,0.6045454545454544,-0.013122027274765769,0.00011236344022780287,-0.018531323212322783,-0.11198775920553539,0.11899471282958984
2,0.400815800823416,0.042504955232901466,0.1269853876022254,0.334723199538878,0.5126581555095836,0.0014881542811053805,88,-0.05425038568054086,0.004789559863867532,-0.1732450985101307,-0.039378129682924756,-0.09185266557521954,0.4177215189873418,-0.00915490351830314,-0.018398650178029663,0.6045454545454544,-0.5614253474006137,-0.007373987746412514,-0.019058897305947925,-0.13829950814143643,0.11899471282958984
3,0.4005910516171121,0.042807934492767465,0.12653375296591934,0.3383123750727395,0.5110534557050278,0.0014042985363961304,88,-0.0531337473750495,0.014676423140418438,-0.17212846020463934,-0.03637795187391219,-0.06613438423550122,0.379746835443038,-0.007022835474255268,-0.015042476977306762,0.6045454545454544,-0.6093310288334677,0.006677280906058458,-0.01692682926190005,-0.1420604324360123,0.11899471282958984
4,0.4004124037443434,0.04325276440143918,0.12522365478478528,0.34540410496543344,0.5121186837804167,0.0016554866109469333,88,-0.0008113943830341253,0.00256722554582709,-0.11980610721262397,-0.02871319719370743,-0.08040003138030227,0.4810126582278481,-0.0010529026707770139,-0.031112083565576154,0.6045454545454544,0.10262705389751085,-0.031112083565576154,-0.010956896458421798,-0.13042345733711314,0.11899471282958984
5,0.40029321711788884,0.04239307883428387,0.12181021986757562,0.34802563266342473,0.5126810144811585,0.0017924502700969408,88,0.041933583541979624,0.05139804959965,-0.07706112928761022,-0.005231176251197194,-0.07425575846805321,0.5063291139240507,0.005841549137263888,-0.013723007010652655,0.6045454545454544,0.633129112542811,-0.013723007010652655,-0.004062444650380896,-0.100876416485427,0.11899471282958984
6,0.4001309879917899,0.04353435056233473,0.12161524740283462,0.357967865806603,0.5113597659241311,0.0010862809503412957,88,0.051080349262985436,0.01132434993234419,-0.06791436356660441,-0.011372302186863054,-0.07777930160183211,0.5569620253164557,0.01171071500611673,-0.02598992006544809,0.6045454545454544,0.7460645440471821,-0.018065777008875017,0.0018067212184719461,-0.10859389581275802,0.11899471282958984
7,0.4000367568197357,0.043639799177737706,0.12173802505964325,0.3584730338475362,0.5129644657286868,0.0007165980878198752,88,-0.08429729649867557,0.005450194430241639,-0.2032920093282654,-0.03629223747538143,-0.07748491034683525,0.43037974683544306,0.00287386954576213,-0.05868758870542712,0.6045454545454544,-1.0206954414317826,-0.05868758870542712,-0.007030124241882654,-0.1464693363009728,0.11899471282958984
8,0.39992024820997407,0.044173857844033555,0.11795384544378434,0.37450121001003217,0.5128135965162928,0.001579369961787465,88,-0.028009101168582018,0.06801326418334101,-0.14700381399817186,-0.008653972441617634,-0.10498063429334703,0.6075949367088608,0.010294277668499231,-0.003986609167856092,0.6045454545454544,-0.06396579582103287,-0.003986609167856092,0.0003902838808544466,-0.1413163193385727,0.11899471282958984
9,0.39983533532427223,0.04391455083173805,0.11802791614359437,0.3720691872447448,0.5129964682888917,0.0016568683620955032,88,0.0413646543409123,0.05676472006066764,-0.07763005848867754,-0.0038206079521102155,-0.09979483845399084,0.569620253164557,0.01232385828458615,-0.03872704814614114,0.6045454545454544,0.5116814666967645,-0.03872704814614114,0.0024198644969413655,-0.14160029468035706,0.11899471282958984
10,0.39967475823615145,0.043591815015195635,0.11609949932593472,0.3754694487770107,0.5122649811984958,0.0011527135866344906,88,0.026809189524012345,0.09233113724297337,-0.0921855233055775,-0.0019701619901678936,-0.08285527343097332,0.5063291139240507,0.011409017310535752,-0.00015321760410791363,0.6045454545454544,0.3943012222077061,-0.00015321760410791363,0.0015050235228909678,-0.18609567391847037,0.11899471282958984
