industry,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ret_60d,amount_ratio_5_vs_prev20,n_stocks,ret_1d_rank_desc,ret_3d_rank_desc,ret_5d_rank_desc,ret_10d_rank_desc,ret_20d_rank_desc,ret_60d_rank_desc,amount_ratio_5_vs_prev20_rank_desc,model_count,mean_rank,best_rank,mean_y_score,top20,top50,top100,model_mean_rank_desc
煤炭开采,0.059483,0.084994,0.115038,0.067564,0.038358,0.066227,1.092108,25,1.0,1.0,1.0,2.0,12.0,14.0,4.0,25,1979.24,81.0,-2.161776,0,0,1,8.0
火力发电,-0.00621,0.040661,0.100276,0.082522,0.266207,0.450877,1.299356,31,82.0,4.0,2.0,1.0,1.0,1.0,3.0,31,2603.258065,501.0,-2.228788,0,0,0,68.0
焦炭加工,0.046562,0.058819,0.070465,0.015975,-0.045007,-0.178144,0.917786,7,2.0,2.0,3.0,7.0,38.0,95.0,14.0,7,2781.0,1055.0,-2.235308,0,0,0,73.0
超市连锁,-0.009685,0.043437,0.057491,0.042182,-0.010778,-0.082071,1.950643,8,89.0,3.0,4.0,3.0,21.0,65.0,1.0,8,3010.0,1054.0,-2.29543,0,0,0,103.0
水力发电,-0.013118,0.020278,0.050538,0.008089,0.079655,0.066668,1.018817,22,93.0,9.0,5.0,10.0,9.0,13.0,6.0,22,2532.181818,252.0,-2.219296,0,0,0,59.0
啤酒,-0.006044,0.032648,0.041435,0.005838,-0.060968,-0.010293,0.879814,6,80.0,6.0,6.0,12.0,53.0,28.0,18.0,6,2794.833333,664.0,-2.234658,0,0,0,72.0
新型电力,-0.000745,0.01149,0.030994,-0.04152,0.043403,0.093352,0.685072,30,55.0,21.0,7.0,35.0,10.0,10.0,50.0,30,2374.933333,167.0,-2.195136,0,0,0,37.0
陶瓷,0.033286,-0.002035,0.01959,0.024841,0.183672,0.098242,0.895233,5,3.0,45.0,8.0,6.0,3.0,9.0,15.0,5,4106.6,3553.0,-2.32972,0,0,0,106.0
银行,0.015565,0.02894,0.014931,0.004801,-0.023946,0.009576,0.793754,42,8.0,7.0,9.0,13.0,28.0,23.0,23.0,42,1910.714286,158.0,-2.16884,0,0,0,14.0
白酒,-0.04505,0.015321,0.014678,0.009037,-0.032316,-0.088748,1.569002,20,110.0,14.0,10.0,9.0,31.0,69.0,2.0,19,3535.473684,116.0,-2.293598,0,0,0,101.0
全国地产,0.000758,0.017773,0.01178,-0.035197,-0.061489,-0.028083,0.869754,24,49.0,12.0,11.0,28.0,54.0,34.0,19.0,24,2469.708333,235.0,-2.203665,0,0,0,48.0
百货,0.006832,0.034074,0.009127,-0.025906,-0.060161,-0.096818,0.98214,34,23.0,5.0,12.0,26.0,51.0,73.0,10.0,34,3255.735294,907.0,-2.279928,0,0,0,98.0
路桥,0.002935,0.020268,0.005321,0.004672,0.010882,0.011006,0.803017,19,41.0,10.0,13.0,14.0,14.0,21.0,22.0,19,2041.736842,503.0,-2.18188,0,0,0,23.0
旅游景点,0.003689,0.019623,0.005135,-0.021136,-0.064829,-0.114657,0.70025,18,38.0,11.0,14.0,19.0,58.0,80.0,46.0,17,2838.058824,988.0,-2.23771,0,0,0,76.0
