rank,stock_code,stock_name,industry,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,ret_60d,amount_ratio_5_vs_prev20,y_score,return_pred,direction_prob
6.0,002313.SZ,日海智能,通信设备,0.0,-0.048988,-0.058017,-0.130477,-0.07076,-0.019759,0.24775,-1.708404,0.000468,0.534211
7.0,002577.SZ,雷柏科技,IT设备,0.0,-0.042827,-0.024017,-0.070203,0.04014,0.083636,0.556414,-1.710725,-0.000747,0.52683
9.0,688409.SH,富创精密,半导体,-0.069829,-0.14305,-0.146341,-0.199543,0.088986,0.439737,0.760231,-1.713208,0.000102,0.520622
321.0,600522.SH,中天科技,通信设备,0.016592,0.05849,0.059536,-0.037262,0.294988,0.487686,0.838631,-2.013727,-0.001229,0.504531
373.0,688498.SH,源杰科技,半导体,0.065431,0.056672,0.159264,0.130066,-0.231757,0.361356,1.100904,-2.026056,-0.000872,0.482773
477.0,601138.SH,工业富联,通信设备,0.090054,0.0668,0.143327,0.167007,0.272424,0.488281,1.211688,-2.049177,0.009023,0.465207
795.0,002463.SZ,沪电股份,元器件,0.0,-0.007666,-0.009898,0.28694,0.287316,0.737368,0.987564,-2.092119,-0.005762,0.482367
1322.0,300308.SZ,中际旭创,通信设备,0.026396,-0.005159,0.080517,0.157097,0.389866,1.21115,0.992589,-2.141512,-0.004786,0.472433
1378.0,002916.SZ,深南电路,元器件,0.0,0.032967,-0.019285,0.238068,0.316512,0.535685,0.962072,-2.146006,-0.001725,0.477183
1865.0,300502.SZ,新易盛,通信设备,0.0574,0.039898,0.067143,0.304803,0.420719,1.022362,0.821165,-2.177809,-0.002953,0.466398
2136.0,688183.SH,生益电子,元器件,-0.047084,-0.054889,-0.004164,0.258852,0.200274,0.637416,1.65585,-2.192262,-0.008023,0.458887
2315.0,688313.SH,仕佳光子,通信设备,-0.050341,-0.056661,-0.096914,-0.108534,0.172053,0.830786,0.749509,-2.203899,0.000594,0.486344
2461.0,002281.SZ,光迅科技,通信设备,0.0,-0.050954,-0.0134,-0.116679,0.413571,1.619782,0.537986,-2.212651,-0.005701,0.470611
2521.0,300476.SZ,胜宏科技,元器件,-0.052752,-0.069864,-0.111643,0.035907,0.062681,0.217919,0.8196,-2.215986,-0.00723,0.475714
3541.0,603083.SH,剑桥科技,通信设备,-0.085941,-0.064963,-0.073631,-0.062099,0.085043,0.738712,0.932176,-2.277475,-0.006145,0.461644
4485.0,300757.SZ,罗博特科,专用机械,0.01766,0.000892,0.089765,0.164596,0.349492,0.556994,1.136138,-2.363761,-0.009842,0.437282
4579.0,300394.SZ,天孚通信,通信设备,0.003954,0.021092,0.123513,0.258953,0.486179,0.361902,1.075786,-2.377061,-0.010772,0.434496
4598.0,000988.SZ,华工科技,专用机械,0.0,-0.082775,-0.108032,-0.040909,0.270978,0.496012,0.676727,-2.380206,-0.005262,0.459476
4653.0,601869.SH,长飞光纤,通信设备,0.014722,0.103063,0.123128,0.027243,0.154959,0.790599,0.88576,-2.388752,-0.008133,0.428246
4790.0,600487.SH,亨通光电,通信设备,0.077801,0.179342,0.197522,0.101365,0.265145,0.718065,0.966256,-2.429402,-0.005603,0.429319
4849.0,300570.SZ,太辰光,通信设备,-0.027627,-0.056045,-0.005072,0.036405,0.183417,0.218653,0.737055,-2.463034,-0.011545,0.437059
