industry,count,top20,top80,median_rank,mean_score,variant
IT设备,68,0,0,2573.0,-0.10890436172485352,direct_multihead
专用机械,250,1,5,1980.0,0.19573292136192322,direct_multihead
中成药,60,0,1,3604.5,-0.42956727743148804,direct_multihead
乳制品,19,0,0,2656.0,-0.16110576689243317,direct_multihead
互联网,75,0,2,3060.0,-0.1138051226735115,direct_multihead
仓储物流,43,0,1,2932.0,-0.2063244879245758,direct_multihead
供气供热,43,0,2,1541.0,0.38844171166419983,direct_multihead
保险,5,0,0,4789.0,-1.2069447040557861,direct_multihead
元器件,276,5,11,1168.5,0.6255687475204468,direct_multihead
全国地产,24,1,1,3131.0,-0.1481965035200119,direct_multihead
公共交通,7,0,0,2630.0,-0.1577010154724121,direct_multihead
公路,2,0,0,2710.0,-0.17688432335853577,direct_multihead
其他商业,11,0,0,2109.0,0.21455207467079163,direct_multihead
其他建材,27,0,0,2584.0,-0.08539646863937378,direct_multihead
农业综合,37,0,0,3489.0,-0.46032705903053284,direct_multihead
农用机械,10,0,0,3249.5,-0.384084552526474,direct_multihead
农药化肥,52,0,0,3557.5,-0.5505716800689697,direct_multihead
出版业,28,0,0,3313.5,-0.5329726934432983,direct_multihead
化学制药,135,0,0,3768.0,-0.5499991774559021,direct_multihead
化工原料,231,2,4,2313.0,0.0772048607468605,direct_multihead
化工机械,12,0,0,2348.5,-0.3041539490222931,direct_multihead
化纤,31,0,0,3508.0,-0.41166532039642334,direct_multihead
区域地产,38,0,0,3010.0,-0.10547060519456863,direct_multihead
医疗保健,164,0,0,3117.0,-0.3328106999397278,direct_multihead
医药商业,35,0,0,3612.0,-0.5124990344047546,direct_multihead
半导体,186,0,6,1042.0,0.7470752596855164,direct_multihead
商品城,4,0,0,3080.5,-0.07261958718299866,direct_multihead
商贸代理,14,0,0,3182.5,-0.12103581428527832,direct_multihead
啤酒,6,0,0,4197.5,-0.7713223099708557,direct_multihead
园区开发,12,0,0,3706.0,-0.37212684750556946,direct_multihead
塑料,64,2,4,1512.0,0.5218833684921265,direct_multihead
多元金融,22,0,0,3376.5,-0.2795056700706482,direct_multihead
家居用品,62,0,0,2385.0,-0.0298475194722414,direct_multihead
家用电器,79,1,1,2381.0,-0.057455021888017654,direct_multihead
小金属,57,1,2,2334.0,0.08460164815187454,direct_multihead
工程机械,32,0,0,2820.5,-0.19388584792613983,direct_multihead
广告包装,48,1,1,3100.0,-0.3584854304790497,direct_multihead
建筑工程,106,2,3,2878.5,-0.06195699796080589,direct_multihead
影视音像,32,0,1,2871.5,-0.11713407933712006,direct_multihead
房产服务,11,0,0,2830.0,-0.08688846230506897,direct_multihead
批发业,5,0,0,3003.0,-0.4287043511867523,direct_multihead
摩托车,11,0,0,2801.0,-0.2867221236228943,direct_multihead
文教休闲,46,0,0,3075.0,-0.21468453109264374,direct_multihead
新型电力,30,0,0,1829.5,0.2170659750699997,direct_multihead
旅游景点,17,0,0,3216.0,-0.33373093605041504,direct_multihead
旅游服务,7,0,0,3170.0,-0.39497146010398865,direct_multihead
日用化工,18,0,0,2727.0,-0.2187243551015854,direct_multihead
普钢,25,0,0,2993.0,-0.48502403497695923,direct_multihead
服饰,56,0,0,2628.0,-0.14104695618152618,direct_multihead
机场,5,0,0,4186.0,-0.9511011242866516,direct_multihead
机床制造,21,0,0,1162.0,0.5652077794075012,direct_multihead
机械基件,112,0,0,1809.0,0.29876551032066345,direct_multihead
林业,3,0,0,2469.0,-0.3876674175262451,direct_multihead
染料涂料,32,0,1,1865.0,0.3622221350669861,direct_multihead
橡胶,12,0,0,2369.0,-0.015619073994457722,direct_multihead
水力发电,22,0,1,1183.0,0.6140350699424744,direct_multihead
水务,14,0,0,2225.0,-0.09691792726516724,direct_multihead
水泥,22,0,0,2916.0,-0.309786319732666,direct_multihead
水运,18,0,0,3674.5,-0.767400860786438,direct_multihead
汽车整车,22,0,0,4124.0,-0.7995635867118835,direct_multihead
汽车服务,8,0,0,3582.5,-0.363078236579895,direct_multihead
汽车配件,231,0,5,2618.0,-0.051183246076107025,direct_multihead
渔业,7,0,0,2751.0,0.022715594619512558,direct_multihead
港口,16,0,0,4011.5,-0.5332136154174805,direct_multihead
火力发电,31,0,1,1197.0,0.7559076547622681,direct_multihead
焦炭加工,7,0,0,1043.0,0.6826006770133972,direct_multihead
煤炭开采,25,0,6,752.0,0.9883212447166443,direct_multihead
特种钢,10,0,0,3773.0,-0.4413270354270935,direct_multihead
环境保护,109,1,2,2395.0,0.058964747935533524,direct_multihead
玻璃,19,0,0,1808.0,0.19368776679039001,direct_multihead
生物制药,72,0,0,3465.5,-0.5170170068740845,direct_multihead
电信运营,5,0,0,2154.0,0.15952707827091217,direct_multihead
电器仪表,85,0,1,1742.0,0.2742868661880493,direct_multihead
电器连锁,1,0,0,4706.0,-1.1986891031265259,direct_multihead
电气设备,306,0,5,2032.5,0.1030067428946495,direct_multihead
白酒,19,0,0,2664.0,-0.03992500528693199,direct_multihead
百货,34,2,2,2828.0,-0.11054778099060059,direct_multihead
石油加工,12,0,0,2374.5,-0.005006550345569849,direct_multihead
石油开采,17,0,0,3389.0,-0.3771268129348755,direct_multihead
石油贸易,4,0,0,1903.0,0.33049601316452026,direct_multihead
矿物制品,31,0,3,1497.0,0.6352346539497375,direct_multihead
种植业,17,0,0,2295.0,0.042027320712804794,direct_multihead
空运,8,0,0,3510.5,-0.476533979177475,direct_multihead
红黄酒,6,0,1,4153.0,0.037817079573869705,direct_multihead
纺织,39,0,0,3499.0,-0.3725752830505371,direct_multihead
纺织机械,10,0,0,1535.0,0.294994980096817,direct_multihead
综合类,16,0,0,2190.0,-0.09939967095851898,direct_multihead
航空,50,0,1,2838.5,-0.13505473732948303,direct_multihead
船舶,11,0,0,2425.0,-0.126868337392807,direct_multihead
装修装饰,18,0,0,2261.5,0.037205763161182404,direct_multihead
证券,50,1,1,4028.0,-0.49813270568847656,direct_multihead
超市连锁,8,0,1,2361.0,0.1915430873632431,direct_multihead
路桥,19,0,0,3479.0,-0.3296889662742615,direct_multihead
软件服务,241,0,2,2435.0,0.014328655786812305,direct_multihead
软饮料,9,0,0,1673.0,0.2742947041988373,direct_multihead
轻工机械,6,0,0,3043.5,-0.466277152299881,direct_multihead
运输设备,44,0,0,2350.5,-0.06761787831783295,direct_multihead
通信设备,124,0,1,2035.0,0.18257421255111694,direct_multihead
造纸,32,0,0,3046.5,-0.19073443114757538,direct_multihead
酒店餐饮,8,0,0,3787.0,-0.7419521808624268,direct_multihead
钢加工,22,0,0,1903.0,0.002112448215484619,direct_multihead
铁路,7,0,0,3536.0,-0.6491950750350952,direct_multihead
铅锌,13,0,0,2770.0,0.012391922995448112,direct_multihead
铜,18,0,0,1390.0,0.48503050208091736,direct_multihead
铝,29,0,0,3084.0,-0.3533293306827545,direct_multihead
银行,42,0,0,4351.0,-0.9000297784805298,direct_multihead
陶瓷,5,0,0,1203.0,0.6981948018074036,direct_multihead
食品,79,0,1,3341.0,-0.344866007566452,direct_multihead
饲料,21,0,0,3447.0,-0.4733094573020935,direct_multihead
黄金,10,0,0,3386.5,-0.5429459810256958,direct_multihead
IT设备,68,0,0,2901.5,-0.18261973184935096,strict_s5_soft
专用机械,250,2,7,1856.5,0.17333853200273613,strict_s5_soft
中成药,60,0,1,3658.5,-0.4601262905123606,strict_s5_soft
乳制品,19,0,1,2900.0,-0.26650379796158163,strict_s5_soft
互联网,75,1,1,3161.0,-0.22941198462882706,strict_s5_soft
仓储物流,43,0,0,2728.0,-0.32365048811459046,strict_s5_soft
供气供热,43,0,0,2025.0,0.21187986241506193,strict_s5_soft
保险,5,0,0,4537.0,-0.972983623938392,strict_s5_soft
