variant,rank,stock_code,stock_name,industry,y_score,raw_y_score,final_score,return_pred,direction_prob,strict_theme_strength,strict_theme_hp,strict_tr,strict_hp,strict_oh,strict_br,strict_mf
direct_multihead,1.0,600162.SH,香江控股,全国地产,3.9123647212982178,0.5397675,-0.36563295,-0.003377935,0.4095622,,,,,,,
direct_multihead,2.0,301577.SZ,美信科技,元器件,3.611285448074341,-0.38933834,-1.1804254,-0.0022956524,0.42999464,,,,,,,
direct_multihead,3.0,600367.SH,红星发展,化工原料,3.526615619659424,-0.7312697,-1.3851135,-0.0022621155,0.45088354,,,,,,,
direct_multihead,4.0,603678.SH,火炬电子,元器件,3.457127809524536,-0.17230183,-0.9805005,-0.0029631415,0.42117056,,,,,,,
direct_multihead,5.0,300197.SZ,节能铁汉,环境保护,3.390427589416504,0.25337577,-0.741857,-0.0034261607,0.40350127,,,,,,,
direct_multihead,6.0,603330.SH,天洋新材,塑料,3.299549102783203,0.01374769,-0.8754453,-0.0033818046,0.4104721,,,,,,,
direct_multihead,7.0,600280.SH,中央商场,百货,3.28682017326355,-0.19456266,-1.085518,-0.0029400028,0.41338074,,,,,,,
direct_multihead,8.0,601066.SH,中信建投,证券,3.263049602508545,-0.41366595,-1.1811444,-0.0029282495,0.42564222,,,,,,,
direct_multihead,9.0,300849.SZ,锦盛新材,塑料,3.152252197265625,-0.4501849,-1.270332,-0.002955243,0.426978,,,,,,,
direct_multihead,10.0,002137.SZ,实益达,元器件,3.1259241104125977,-0.8107555,-1.530918,-0.0024519628,0.43255115,,,,,,,
direct_multihead,11.0,600857.SH,宁波中百,百货,3.057932138442993,-0.5648266,-1.3649491,-0.0029780865,0.4314375,,,,,,,
direct_multihead,12.0,002951.SZ,金时科技,广告包装,3.0449187755584717,-0.72120017,-1.5105776,-0.0026065297,0.42838728,,,,,,,
direct_multihead,13.0,300826.SZ,测绘股份,建筑工程,2.995842456817627,-0.21636993,-1.1071014,-0.0034881812,0.414576,,,,,,,
direct_multihead,14.0,600255.SH,鑫科材料,小金属,2.9112067222595215,-0.0013525505,-0.9222134,-0.0040164003,0.4083108,,,,,,,
direct_multihead,15.0,603011.SH,合锻智能,专用机械,2.8090906143188477,-0.6851838,-1.5367775,-0.0028966758,0.41997603,,,,,,,
direct_multihead,16.0,603681.SH,永冠新材,化工原料,2.7896461486816406,-1.0133942,-1.7967985,-0.0025841035,0.439582,,,,,,,
direct_multihead,17.0,688609.SH,九联科技,家用电器,2.7790300846099854,-1.3820233,-2.0879095,-0.0020920262,0.45332497,,,,,,,
direct_multihead,18.0,300319.SZ,麦捷科技,元器件,2.7663564682006836,-0.82744056,-1.6411239,-0.0028936937,0.4314918,,,,,,,
direct_multihead,19.0,603386.SH,骏亚科技,元器件,2.761782646179199,-1.0093279,-1.8121842,-0.0024497425,0.42887428,,,,,,,
direct_multihead,20.0,300649.SZ,杭州园林,建筑工程,2.7357828617095947,-1.0523374,-1.8839506,-0.0025707185,0.4457564,,,,,,,
direct_multihead,21.0,002297.SZ,博云新材,航空,2.716130018234253,-1.6233087,-2.3386538,-0.0018045641,0.46703026,,,,,,,
direct_multihead,22.0,600121.SH,郑州煤电,煤炭开采,2.6472115516662598,-1.0525943,-1.8373088,-0.002779238,0.44013423,,,,,,,
direct_multihead,23.0,688515.SH,裕太微-U,半导体,2.6297740936279297,-0.9978786,-1.798099,-0.002855259,0.43631575,,,,,,,
direct_multihead,24.0,301013.SZ,利和兴,专用机械,2.625391721725464,-1.0747201,-1.8580446,-0.0028424533,0.44502282,,,,,,,
direct_multihead,25.0,600188.SH,兖矿能源,煤炭开采,2.6253271102905273,-1.1199293,-1.8965197,-0.0026617255,0.4389191,,,,,,,
direct_multihead,26.0,301439.SZ,泓淋电力,电气设备,2.6047966480255127,-0.91654414,-1.790873,-0.0027650166,0.42513382,,,,,,,
direct_multihead,27.0,301329.SZ,信音电子,元器件,2.5894410610198975,-0.7471283,-1.6134851,-0.0032931864,0.4298067,,,,,,,
direct_multihead,28.0,603633.SH,徕木股份,汽车配件,2.5542945861816406,-1.3440416,-2.1269853,-0.0023801513,0.44837153,,,,,,,
direct_multihead,29.0,603990.SH,麦迪科技,软件服务,2.5528275966644287,-1.1530837,-1.9346075,-0.0028379401,0.44753882,,,,,,,
direct_multihead,30.0,300554.SZ,三超新材,矿物制品,2.5504658222198486,-1.1609718,-1.928509,-0.0026537776,0.43333697,,,,,,,
strict_s5_soft,1.0,688783.SH,西安奕材-U,半导体,3.1127928188386025,-1.2941182,-2.0768485,-0.002553395,0.44238,3.965508509973894,4.0,3.9341051841087737,4.0,0.2298989398914579,0.002052408832862223,1.089260646224313
strict_s5_soft,2.0,600367.SH,红星发展,化工原料,3.061501883618931,-0.7312697,-1.3851135,-0.0022621155,0.45088354,4.0,0.0,4.0,0.0,0.9999495867427708,0.0013933406901055884,0.3493134577111368
strict_s5_soft,3.0,688381.SH,帝奥微,半导体,3.011634940929533,-1.5047458,-2.2511175,-0.0023963219,0.44913608,4.0,4.0,4.0,4.0,0.10048861351732861,0.001849712766119018,0.6623430855485682
strict_s5_soft,4.0,301577.SZ,美信科技,元器件,2.9491109227302754,-0.38933834,-1.1804254,-0.0022956524,0.42999464,4.0,0.0,4.0,0.0,0.9998432914450947,0.0022123549494589686,0.775285910814627
strict_s5_soft,5.0,603678.SH,火炬电子,元器件,2.719662393328107,-0.17230183,-0.9805005,-0.0029631415,0.42117056,4.0,0.0,4.0,0.0,0.999797977449067,0.0012276531117524575,0.6028451283078953
