variant,holdout,validation,combined_live
cluster_gate_k24_m6_cap4,0.06746616262238336,-0.004221991347464201,0.04954412412992147
baseline,0.06506075102141709,-0.01830981781577346,0.044218108812119454
cluster_gate_k16_m8_cap3,0.0693348768144505,-0.036025139869934164,0.04299487264335433
cluster_gate_k16_m6_cap4,0.06321642952889009,-0.01946910966347684,0.042545044730798356
cluster_gate_k12_m5_cap5,0.05980396581679902,-0.010592013257369987,0.04220497104825676
cluster_gate_k12_m6_cap4,0.060819758593580395,-0.0159641844767651,0.04162377282599402
cluster_gate_k24_m8_cap3,0.05626319154706584,-0.013228712994982876,0.038890215411553665
cluster_gate_k8_m4_cap6,0.04893756037830982,-0.005914020766978136,0.03522466509198783
cluster_gate_k8_m3_cap8,0.04393419490846537,-0.005848822298806747,0.031488440606647336
cluster_gate_k24_m5_cap5,0.04777526892849613,-0.018217773439507333,0.031277008336495264
cluster_boost_k16_w0.20,0.04728065640932883,-0.02307370135188792,0.029692066969024645
cluster_boost_k16_w0.35,0.04277523711244964,-0.012934833508473523,0.028847719457218854
cluster_gate_k24_m3_cap8,0.046166348518291156,-0.02771551583591831,0.02769588242973879
cluster_boost_k24_w0.35,0.039014929706850034,-0.012323234432762308,0.02618038867194695
cluster_boost_k24_w0.50,0.043770617962042443,-0.027471082786394166,0.025960192774933288
cluster_gate_k12_m8_cap3,0.04086087288121876,-0.02015031248862581,0.025608076538757615
cluster_gate_k8_m5_cap5,0.03862182212271147,-0.014876075079316532,0.02524734782220447
cluster_gate_k16_m5_cap5,0.038274545205943575,-0.01620332522959908,0.02465507759705791
cluster_gate_k16_m4_cap6,0.0359179324784535,-0.01313007001785571,0.023655931854376196
cluster_boost_k16_w0.50,0.03850165326485981,-0.02134140271521089,0.023540889269842137
cluster_gate_k16_m3_cap8,0.034584943141312524,-0.013145243573347344,0.022652396462647557
cluster_boost_k8_w0.35,0.030152076959721316,-0.006810567083778665,0.02091141594884632
cluster_gate_k8_m6_cap4,0.039784634341786695,-0.038230045245704794,0.020280964444913823
cluster_boost_k8_w0.20,0.032148914467458975,-0.015788577250953686,0.02016454153785581
cluster_gate_k24_m4_cap6,0.03411277914922296,-0.02429789651366557,0.01951011023350083
cluster_gate_k12_m3_cap8,0.028854856807517485,-0.009047564575956187,0.019379251461649066
cluster_boost_k8_w0.50,0.028183462941166363,-0.008146914089590753,0.019100868683477084
cluster_boost_k12_w0.20,0.029686488440216298,-0.013314333883130742,0.01893628285937954
cluster_gate_k12_m4_cap6,0.026812864860050294,-0.005741937937391684,0.0186741641606898
cluster_boost_k12_w0.50,0.021842352166897016,0.00048421057677637547,0.016502816769366855
cluster_boost_k24_w0.20,0.027917575106623595,-0.018911670252975063,0.01621026376672393
cluster_gate_k8_m8_cap3,0.028151385793887304,-0.021463386191933307,0.015747692797432152
cluster_boost_k12_w0.35,0.011500551671556933,0.0013865293479878305,0.008972046090664657
