variant,holdout,validation,combined_live
gknn20_t068_boost_w0.45,0.06681020573623273,-0.014867446492500682,0.04639079267904937
gknn20_t08_boost_w0.45,0.06672644014809906,-0.015529974448406276,0.04616233649897272
gknn20_t074_boost_w0.45,0.06681020573623273,-0.015855007464944844,0.046143902435938335
gknn20_t08_boost_w0.15,0.06670130759025428,-0.01701721186729345,0.04577167772586735
gknn20_t08_boost_w0.30,0.06626420796657995,-0.015850416923074026,0.04573555174416645
gknn20_t068_boost_w0.30,0.06626420796657995,-0.016236288603504696,0.04563908382405878
gknn20_t074_boost_w0.30,0.06626420796657995,-0.016936657520476604,0.04546399159481581
gknn20_t074_boost_w0.15,0.06617802375300752,-0.01783659899009303,0.04517436806723238
gknn20_t068_boost_w0.15,0.06617802375300752,-0.01821707680115958,0.045079248614465744
gknn35_t068_boost_w0.45,0.06506075102141709,-0.01701101034030187,0.04454281068098735
gknn35_t08_boost_w0.45,0.06506075102141709,-0.017362025059925672,0.0444550570010814
gknn35_t08_boost_w0.30,0.06506075102141709,-0.017599784065624766,0.04439561724965663
gknn35_t08_boost_w0.15,0.06506075102141709,-0.01792452707716152,0.04431443149677244
gknn35_t074_boost_w0.45,0.06506075102141709,-0.017929414550697156,0.04431320962838853
gknn35_t074_boost_w0.30,0.06506075102141709,-0.017929414550697156,0.04431320962838853
gknn35_t074_boost_w0.15,0.06506075102141709,-0.018288948238369344,0.04422332620647048
gknn35_t068_boost_w0.15,0.06506075102141709,-0.018309817812080718,0.04421810881304264
baseline,0.06506075102141709,-0.01830981781577346,0.044218108812119454
gknn35_t068_boost_w0.30,0.06506075102141709,-0.01830981790338565,0.044218108790216405
gknn35_t068_gate_m4_cap6,0.0492241945215732,-0.01672092045556871,0.03273791577728772
gknn35_t08_gate_m4_cap6,0.04112355392887947,-0.004505659328704427,0.02971625061448349
gknn20_t074_gate_m4_cap6,0.03505323305690343,-0.00013867601918686467,0.026255255787880856
gknn20_t08_gate_m4_cap6,0.03589811385300116,-0.0037593539174064286,0.025983746910399265
gknn20_t068_gate_m4_cap6,0.037365719493563224,-0.009643219393341965,0.025613484771836927
gknn35_t074_gate_m4_cap6,0.03890523161272039,-0.017044255265428833,0.024917859893183084
gknn35_t074_gate_m5_cap5,0.01816423608491322,-0.01176480892757355,0.010681974831791528
gknn20_t068_gate_m5_cap5,0.015273136182542404,-0.009859201471549162,0.008990051769019514
gknn35_t068_gate_m5_cap5,0.0169462150477638,-0.015315173440243864,0.008880867925761884
gknn20_t068_gate_m6_cap4,0.012373157988121115,-0.0027456976104679245,0.008593444088473855
gknn20_t074_gate_m5_cap5,0.014429783547424163,-0.011478252961103066,0.007952774420292356
gknn20_t074_gate_m6_cap4,0.01004035157936864,-0.0049270623279482895,0.006298498102539407
gknn20_t08_gate_m5_cap5,0.011553098453982846,-0.012871886012386967,0.005446852337390392
gknn20_t08_gate_m6_cap4,0.0038695271697496755,-0.008343070726288811,0.0008163776957400538
gknn35_t08_gate_m5_cap5,0.004446385311552696,-0.010913049915416969,0.0006065265048102795
gknn20_t074_gate_m8_cap3,-0.00035317653275630106,0.0023626642227618927,0.0003257836561232474
gknn35_t068_gate_m6_cap4,0.003487855657797072,-0.010152564870592719,7.775052569962415e-05
gknn35_t074_gate_m6_cap4,0.0006955289503565798,-0.012439562255213879,-0.0025882438510360347
gknn20_t068_gate_m8_cap3,-0.0007440906893123817,-0.00828863148836849,-0.0026302258890764088
gknn20_t08_gate_m8_cap3,-0.009252603537415065,0.0002526641531567994,-0.006876286614772099
gknn35_t068_gate_m8_cap3,-0.014136096689429164,-0.0002133955748424496,-0.010655421410782484
gknn35_t08_gate_m6_cap4,-0.012120059424327208,-0.008408925957068915,-0.011192276057512635
gknn35_t074_gate_m8_cap3,-0.02085501580897342,-0.0018189381161231692,-0.01609599638576086
gknn35_t08_gate_m8_cap3,-0.02770617227321121,0.0016436615764287357,-0.02036871381080123
