eval_split,score_variant,period_return,period_excess_equal,rolling_return_mean,rolling_excess_equal_mean,latest_window_return,max_drawdown,competition_score
holdout,direct_theme_soft_cluster_boostlight,0.0533193782503322,0.0913643673593715,0.0163630065962921,0.0474295673415314,-0.0183902362981541,-0.0620705548589741,0.0272330986761213
holdout,direct_theme_soft_cluster_boost,0.0060670678638021,0.0441120569728414,0.0012555250047044,0.0323220857499437,-0.0348564254243802,-0.0742593953931202,0.0092029983107835
holdout,direct_theme_soft_cluster_booststrong,-0.0246172802201962,0.013427708888843,-0.0159726860565837,0.0150938746886555,-0.0370259244263715,-0.1052408588713076,-0.0147461516944656
holdout,direct_theme_soft_cluster12,-0.0958455168581111,-0.0578005277490718,-0.0556451681777581,-0.0245786074325188,-0.1171221456695896,-0.1574814986910796,-0.0608310250371737
holdout,direct_theme_soft_cluster6,-0.0781844470690267,-0.0401394579599874,-0.0679957600535379,-0.0369291993082987,-0.095321319537881,-0.1532172695109865,-0.0695189686408799
holdout,direct_theme_soft_cluster10,-0.1144940413004713,-0.076449052191432,-0.0652813193515261,-0.0342147586062868,-0.1088494997789464,-0.1721165853184728,-0.0728683070831635
holdout,direct_theme_soft_cluster8,-0.1386105881442819,-0.1005655990352426,-0.0680623776306481,-0.0369958168854088,-0.1048019542433055,-0.1851023151089076,-0.0788033813698856
validation,direct_theme_soft_cluster_boostlight,0.3254334130255381,0.2311044135061899,0.0149894984842062,0.0096494903095343,0.1035487291701862,-0.1469626619123425,0.036130041140328
validation,direct_theme_soft_cluster_boost,0.2727714046928389,0.1784424051734907,0.0152900667918786,0.0099500586172067,0.0878324018975122,-0.1629829087743566,0.0335821276288354
validation,direct_theme_soft_cluster12,0.1959913222750429,0.1016623227556947,0.0121734611077428,0.0068334529330709,0.0967512723691319,-0.1916523441676874,0.019550309778639
validation,direct_theme_soft_cluster_booststrong,0.2290790177205435,0.1347500182011953,0.0037392704705475,-0.0016007377041243,0.1041690471534928,-0.1729602677471033,0.0175073002576785
validation,direct_theme_soft_cluster10,0.1268980769471701,0.032569077427822,0.0076270602661474,0.0022870520914756,0.0955088422315131,-0.1959242980044732,0.0082192215870586
validation,direct_theme_soft_cluster8,0.1594642210041417,0.0651352214847935,0.003329735650123,-0.0020102725245487,0.0942397204780303,-0.184982409057749,0.0078216618646747
validation,direct_theme_soft_cluster6,0.1067011697475828,0.0123721702282346,0.0026387373007859,-0.0027012708738859,0.1214080104038268,-0.2165439731210663,-0.0008045246698083
